,County,ID
1416,Sioux,44
1417,Siskiyou,2566
1418,Skagit,623
1419,Skamania,87
1420,Slope,10
1421,Smith,2565
1422,Smyth,278
1423,Snohomish,3689
1424,Snyder,641
1425,Socorro,45
1426,Solano,8302
1427,Somerset,2599
1428,Sonoma,9653
1429,Southampton,143
1430,Spalding,252
1431,Spartanburg,7548
1432,Spencer,134
1433,Spokane,823
1434,Spotsylvania,1743
1435,St John The Baptist,1
1436,St Joseph,7
1437,St. Bernard,8
1438,St. Charles,1800
1439,St. Clair,868
1440,St. Croix,96
1441,St. Francis,327
1442,St. Francois,3
1443,St. Helena,2
1444,St. James,44
1445,St. John the Baptist,215
1446,St. Johns,2024
1447,St. Joseph,257
1448,St. Landry,17
1449,St. Lawrence,87
1450,St. Louis,2798
1451,St. Louis City,1878
1452,St. Louis County,5558
1453,St. Lucie,1525
1454,St. Martin,243
1455,St. Mary,2
1456,St. Mary's,323
1457,St. Tammany,356
1458,Stafford,3076
1459,Stanislaus,9413
1460,Stanly,57
1461,Stark,286
1462,Starke,28
1463,Staunton,67
1464,Staunton City,10
1465,Ste Genevieve,9
1466,Stearns,2381
1467,Steele,996
1468,Stephens,38
1469,Stephenson,3
1470,Sterling,1
1471,Steuben,122
1472,Stevens,133
1473,Stewart,33
1474,Stillwater,431
1475,Stokes,75
1476,Stone,32
1477,Storey,32
1478,Story,325
1479,Strafford,233
1480,Stutsman,74
1481,Sublette,3
1482,Suffolk,6734
1483,Suffolk City,50
1484,Sullivan,492
1485,Summers,48
1486,Summit,3716
1487,Sumner,288
1488,Sumter,2797
1489,Surry,272
1490,Susquehanna,283
1491,Sussex,1013
1492,Sutter,1602
1493,Sutton,1
1494,Suwannee,511
1495,Swain,33
1496,Sweet Grass,136
1497,Sweetwater,219
1498,Swift,81
1499,Switzerland,3
1500,Talbot,668
1501,Taliaferro,27
1502,Talladega,149
1503,Tallapoosa,30
1504,Tama,20
1505,Taney,8
1506,Tangipahoa,250
1507,Taos,15
1508,Tarrant,11673
1509,Tate,51
1510,Tattnall,18
1511,Taylor,262
1512,Tazewell,115
1513,Tehama,2069
1514,Telfair,6
1515,Teller,67
1516,Terrebonne,201
1517,Terrell,15
1518,Teton,88
1519,Texas,6
1520,Thayer,9
1521,Thomas,27
1522,Thurston,924
1523,Tift,75
1524,Tillamook,1854
1525,Tioga,682
1526,Tippah,5
1527,Tippecanoe,146
1528,Tipton,20
1529,Tishomingo,6
1530,Titus,4
1531,Todd,573
1532,Tolland,642
1533,Tom Green,1
1534,Tompkins,135
1535,Tooele,1622
1536,Toole,72
1537,Toombs,21
1538,Torrance,50
1539,Traill,72
1540,Transylvania,73
1541,Traverse,3
1542,Travis,20689
1543,Treasure,61
1544,Trego,2
1545,Trempealeau,38
1546,Treutlen,73
1547,Trigg,8
1548,Trimble,2
1549,Trinity,948
1550,Troup,300
1551,Trousdale,12
1552,Trumbull,142
1553,Tucker,6
1554,Tulare,8471
1555,Tulsa,4734
1556,Tunica,3
1557,Tuolumne,2261
1558,Turner,34
1559,Tuscaloosa,2441
1560,Tuscarawas,49
1561,Tuscola,4
1562,Twiggs,100
1563,Twin Falls,106
1564,Tyler,2
1565,Tyrrell,24
1566,Uinta,67
1567,Uintah,296
1568,Ulster,1019
1569,Umatilla,5859
1570,Unicoi,34
1571,Union,9017
1572,Upshur,9
1573,Upson,39
1574,Utah,5133
1575,Uvalde,7
1576,Valencia,10
1577,Valley,84
1578,Van Buren,332
1579,Van Wert,31
1580,Van Zandt,3
1581,Vance,131
1582,Vanderburgh,154
1583,Venango,213
1584,Ventura,9554
1585,Vermilion,12
1586,Vermillion,27
1587,Vernon,33
1588,Victoria,24
1589,Vigo,169
1590,Vilas,8
1591,Vinton,16
1592,Virginia Beach,3172
1593,Virginia Beach City,5
1594,Volusia,3270
1595,Wabash,46
1596,Wabasha,276
1597,Wabaunsee,15
1598,Wadena,155
1599,Wagoner,16
1600,Wahkiakum,17
1601,Wake,31662
1602,Wakulla,397
1603,Waldo,21
1604,Walker,283
1605,Walla Walla,10
1606,Waller,159
1607,Wallowa,559
1608,Walsh,15
1609,Walthall,2
1610,Walton,1430
1611,Walworth,129
1612,Wapello,81
1613,Ward,111
1614,Ware,26
1615,Warren,2551
1616,Warrick,46
1617,Wasatch,1315
1618,Wasco,2824
1619,Waseca,208
1620,Washburn,5
1621,Washington,16889
1622,Washita,1
1623,Washoe,2529
1624,Washtenaw,1446
1625,Watauga,22
1626,Watonwan,244
1627,Waukesha,678
1628,Waupaca,69
1629,Waushara,33
1630,Wayne,11892
1631,Waynesboro,93
1632,Waynesboro City,1
1633,Weakley,9
1634,Webb,7
1635,Weber,4141
1636,Webster,103
1637,Weld,1068
1638,Wells,38
1639,West Baton Rouge,889
1640,West Feliciana,2
1641,Westchester,9913
1642,Westmoreland,2481
1643,Wetzel,6
1644,Wexford,14
1645,Wharton,23
1646,Whatcom,708
1647,Wheatland,31
1648,Wheeler,448
1649,White,284
1650,White Pine,41
1651,Whiteside,8
1652,Whitfield,176
1653,Whitley,77
1654,Whitman,49
1655,Wibaux,30
1656,Wichita,1058
1657,Wicomico,251
1658,Wilbarger,1
1659,Wilcox,16
1660,Wilkes,155
1661,Wilkin,15
1662,Wilkinson,23
1663,Will,1012
1664,Williams,120
1665,Williamsburg,314
1666,Williamson,1594
1667,Wilson,473
1668,Winchester,59
1669,Windham,471
1670,Windsor,73
1671,Winkler,1
1672,Winnebago,353
1673,Winneshiek,17
1674,Winona,1104
1675,Winston,12
1676,Wise,50
1677,Wolfe,5
1678,Wood,565
1679,Woodbury,204
1680,Woodford,32
1681,Woods,1
1682,Woodward,4
1683,Worcester,1397
1684,Worth,88
1685,Wright,2884
1686,Wyandot,16
1687,Wyandotte,2710
1688,Wyoming,105
1689,Wythe,864
1690,Yadkin,150
1691,Yakima,65
1692,Yalobusha,29
1693,Yamhill,2730
1694,Yancey,12
1695,Yates,11
1696,Yavapai,1988
1697,Yazoo,29
1698,Yell,69
1699,Yellow Medicine,182
1700,Yellowstone,1239
1701,Yoakum,4
1702,Yolo,4329
1703,York,9117
1704,Young,5
1705,Yuba,2672
1706,Yuma,251
