,County,ID
336,Cocke,138
337,Coconino,1371
338,Coffee,247
339,Coffey,4
340,Colbert,34
341,Cole,13
342,Coles,4
343,Colfax,39
344,Colleton,1357
345,Collier,1636
346,Collin,1808
347,Colonial Heights,310
348,Colorado,20
349,Colquitt,34
350,Columbia,4605
351,Columbiana,62
352,Columbus,110
353,Colusa,921
354,Comal,192
355,Comanche,21
356,Concho,1
357,Concordia,1
358,Conecuh,79
359,Conejos,11
360,Contra Costa,19726
361,Converse,31
362,Conway,181
363,Cook,21335
364,Cooke,14
365,Cooper,76
366,Coos,2350
367,Coosa,18
368,Copiah,42
369,Corson,7
370,Cortland,136
371,Coryell,5
372,Costilla,27
373,Cotton,6
374,Cottonwood,285
375,Covington,56
376,Covington City,7
377,Coweta,577
378,Cowlitz,378
379,Craig,9
380,Craighead,188
381,Craven,99
382,Crawford,446
383,Creek,30
384,Crenshaw,8
385,Crisp,40
386,Crittenden,564
387,Crockett,8
388,Crook,837
389,Crosby,2
390,Cross,6
391,Crow Wing,855
392,Crowley,11
393,Culberson,16
394,Cullman,211
395,Culpeper,263
396,Cumberland,4363
397,Cuming,6
398,Currituck,60
399,Curry,1132
400,Custer,162
401,Cuyahoga,2795
402,Dade,103
403,Daggett,63
404,Dakota,5977
405,Dale,49
406,Dallam,3
407,Dallas,50050
408,Dane,845
409,Daniels,1
410,Danville,17
411,Danville City,4
412,Dare,32
413,Darke,57
414,Darlington,1200
415,Dauphin,2368
416,Davidson,26259
417,Davie,297
418,Daviess,51
419,Davis,4367
420,Davison,2
421,Dawes,1
422,Dawson,247
423,De Baca,3
424,De Kalb,4
425,De Soto,19
426,De Witt,2
427,DeKalb,6626
428,DeSoto,627
429,Dearborn,59
430,Decatur,106
431,Deer Lodge,159
432,Defiance,17
433,Dekalb,92
434,Del Norte,1168
435,Delaware,4207
436,Delta,46
437,Denton,2017
438,Denver,5020
439,Des Moines,22
440,Deschutes,6330
441,Desha,20
442,Desoto,1
443,Deuel,21
444,Dewey,2
445,Dewitt,1
446,Dickens,1
447,Dickenson,14
448,Dickey,28
449,Dickinson,18
450,Dickson,136
451,Dillon,807
452,Dimmit,2
453,Dinwiddie,744
454,District Of Columbia,141
455,District of Columbia,8994
456,Divide,11
457,Dixie,144
458,Dixon,1
459,Doddridge,27
460,Dodge,480
461,Dolores,20
462,Donley,3
463,Dooly,73
464,Door,2
465,Dorchester,2538
466,Dougherty,89
467,Douglas,12137
468,Doña Ana,93
469,Do�a Ana,31
470,Drew,34
471,DuPage,5289
472,Dubois,49
473,Dubuque,91
474,Duchesne,323
475,Dunklin,3
476,Dunn,105
477,Dupage,1535
478,Duplin,126
479,Durham,1603
480,Dutchess,2166
481,Duval,14517
482,Dyer,12
483,Eagle,606
484,Early,10
485,East Baton Rouge,19021
486,East Feliciana,13
487,Eastland,23
488,Eaton,516
489,Eau Claire,62
490,Echols,4
491,Ector,14
492,Eddy,33
493,Edgecombe,110
494,Edgefield,176
495,Edmonson,1
496,Edwards,3
497,Effingham,114
498,El Dorado,5380
499,El Paso,5725
500,Elbert,94
501,Elk,560
502,Elkhart,169
503,Elko,296
504,Ellis,317
505,Ellsworth,7
506,Elmore,515
507,Emanuel,37
508,Emery,486
509,Emmet,39
510,Emmons,23
511,Emporia,63
512,Erath,7
513,Erie,5189
514,Escambia,6927
515,Esmeralda,14
516,Essex,7058
517,Estill,1
518,Etowah,41
519,Eureka,64
520,Evangeline,3
521,Evans,12
522,Fairfax,337
523,Fairfax City,187
524,Fairfax County,17948
525,Fairfield,9225
526,Fallon,4
527,Falls,1
528,Falls Church,37
529,Fannin,3
530,Faribault,402
531,Faulkner,245
532,Fauquier,1542
533,Fayette,1303
534,Fentress,5
535,Fergus,160
536,Ferry,18
537,Fillmore,300
538,Finney,7
539,Flagler,448
540,Flathead,1835
541,Florence,4029
542,Floyd,522
543,Fluvanna,119
544,Fond Du Lac,5
545,Fond du Lac,61
546,Ford,20
547,Forest,17
548,Forrest,443
549,Forsyth,1999
550,Fort Bend,690
551,Foster,15
552,Fountain,57
553,Franklin,6111
554,Franklin City,13
555,Franklin County,335
556,Frederick,7144
557,Fredericksburg,720
558,Fredericksburg City,7
559,Freeborn,1100
560,Freestone,9
561,Fremont,345
562,Fresno,16310
563,Frio,2
564,Fulton,12416
565,Furnas,2
566,Gadsden,950
567,Gage,16
568,Galax,1
569,Gallatin,1969
570,Gallia,16
571,Galveston,391
572,Garfield,896
573,Garland,134
574,Garrett,194
575,Garvin,11
576,Garza,1
577,Gasconade,3
578,Gaston,638
579,Gates,35
580,Geary,10
581,Geauga,138
582,Gem,13
583,Genesee,7995
584,Geneva,20
585,Gentry,3
586,George,18
587,Georgetown,569
588,Gibson,82
589,Gila,623
590,Gilchrist,193
591,Giles,131
592,Gillespie,8
593,Gilliam,846
594,Gilmer,118
595,Gilpin,53
596,Glacier,172
597,Glades,68
598,Gladwin,4
599,Glascock,1
600,Glenn,788
601,Gloucester,2104
602,Glynn,145
603,Gogebic,5
604,Golden Valley,48
605,Goliad,5
606,Gonzales,15
607,Goochland,646
608,Goodhue,1186
609,Gooding,62
610,Gordon,117
611,Goshen,3
612,Gove,1
613,Grady,27
614,Grafton,186
615,Graham,110
616,Grainger,16
617,Grand,578
618,Grand Forks,162
619,Grand Isle,12
620,Grand Traverse,41
621,Granite,300
622,Grant,1661
623,Granville,244
624,Gratiot,39
625,Graves,1
626,Gray,3
627,Grays Harbor,219
628,Grayson,36
629,Greeley,2
630,Green,37
631,Green Lake,12
632,Greenbrier,60
633,Greene,5767
634,Greenlee,45
635,Greensville,188
636,Greenup,6
637,Greenville,11051
638,Greenwood,873
639,Greer,1
640,Gregg,6
641,Gregory,1
642,Grenada,9
