Date,Crash
21/08/2021,1094.8
22/08/2021,1081.4
23/08/2021,1304.8
24/08/2021,1138.8
25/08/2021,972.3333333
26/08/2021,1296
27/08/2021,1736
28/08/2021,1131.666667
29/08/2021,1261.6
30/08/2021,1846.4
31/08/2021,1565.8
1/09/2021,1618
2/09/2021,1119
3/09/2021,963
4/09/2021,1119.333333
5/09/2021,1057.5
6/09/2021,1347.8
7/09/2021,1263.833333
8/09/2021,1327.333333
9/09/2021,1458.666667
10/09/2021,1615.5
11/09/2021,1385.5
12/09/2021,1384.666667
13/09/2021,1646
14/09/2021,1488.833333
15/09/2021,1503.166667
16/09/2021,1558.333333
17/09/2021,1768
18/09/2021,1414.833333
19/09/2021,1313.2
20/09/2021,1824.8
21/09/2021,1498
22/09/2021,1519.833333
23/09/2021,1832.333333
24/09/2021,1947.166667
25/09/2021,1657.666667
26/09/2021,1487.166667
27/09/2021,1830.166667
28/09/2021,1728.166667
29/09/2021,1656
30/09/2021,1534.666667
1/10/2021,917.8
2/10/2021,1021.2
3/10/2021,922.1666667
4/10/2021,1491.166667
5/10/2021,1659.333333
6/10/2021,1585.666667
7/10/2021,1695.166667
8/10/2021,1724.333333
9/10/2021,1465.333333
10/10/2021,1455.333333
11/10/2021,1672
12/10/2021,1614.5
13/10/2021,1667.833333
14/10/2021,1875.833333
15/10/2021,1975
16/10/2021,1837.5
17/10/2021,1741.166667
18/10/2021,1901.833333
19/10/2021,1952.666667
20/10/2021,1990.5
21/10/2021,2241.333333
22/10/2021,2243.333333
23/10/2021,1708.5
24/10/2021,1860.5
25/10/2021,2159.666667
26/10/2021,1994.833333
27/10/2021,1917.5
28/10/2021,1730.166667
29/10/2021,2255
30/10/2021,2239.666667
31/10/2021,1658.833333
1/11/2021,1876.666667
2/11/2021,2139.833333
3/11/2021,2167
4/11/2021,2328.333333
5/11/2021,2417.333333
6/11/2021,2110.5
7/11/2021,2031.333333
8/11/2021,2303.666667
9/11/2021,2129
10/11/2021,2195.166667
11/11/2021,2328
12/11/2021,2676.833333
13/11/2021,2362.666667
14/11/2021,1598
15/11/2021,1957.333333
16/11/2021,2021.833333
17/11/2021,2020
18/11/2021,2209.833333
19/11/2021,2328
20/11/2021,1936.166667
21/11/2021,1677
22/11/2021,1843.166667
23/11/2021,2147.166667
24/11/2021,2040
25/11/2021,1343.166667
26/11/2021,1306.666667
27/11/2021,1386.166667
28/11/2021,1502.5
29/11/2021,2876.75
30/11/2021,3289.5
1/12/2021,2196.166667
2/12/2021,2109
3/12/2021,2820.5
4/12/2021,2198
5/12/2021,1533.5
6/12/2021,2571.333333
7/12/2021,2702.5
8/12/2021,2787
9/12/2021,2978.166667
10/12/2021,3128.166667
11/12/2021,2789.166667
12/12/2021,2496.333333
13/12/2021,2766.666667
14/12/2021,3013.833333
15/12/2021,2906.833333
16/12/2021,3066.666667
17/12/2021,3217.166667
18/12/2021,2839.5
19/12/2021,2401.5
20/12/2021,2608.666667
21/12/2021,2701.5
22/12/2021,3021.333333
23/12/2021,3849.833333
24/12/2021,2491.833333
25/12/2021,1614.5
26/12/2021,2279.333333
27/12/2021,2513.166667
28/12/2021,2728.5
29/12/2021,2619.833333
30/12/2021,3137.666667
31/12/2021,2377
