Month,Day,Crash
October,22,2243.333333
October,23,1708.5
October,24,1860.5
October,25,2159.666667
October,26,1994.833333
October,27,1917.5
October,28,1730.166667
October,29,2255
October,30,2239.666667
October,31,1658.833333
November,1,1876.666667
November,2,2139.833333
November,3,2167
November,4,2328.333333
November,5,2417.333333
November,6,2110.5
November,7,2031.333333
November,8,2303.666667
November,9,2129
November,10,2195.166667
November,11,2328
November,12,2676.833333
November,13,2362.666667
November,14,1598
November,15,1957.333333
November,16,2021.833333
November,17,2020
November,18,2209.833333
November,19,2328
November,20,1936.166667
November,21,1677
November,22,1843.166667
November,23,2147.166667
November,24,2040
November,25,1343.166667
November,26,1306.666667
November,27,1386.166667
November,28,1502.5
November,29,2876.75
November,30,3289.5
December,1,2196.166667
December,2,2109
December,3,2820.5
December,4,2198
December,5,1533.5
December,6,2571.333333
December,7,2702.5
December,8,2787
December,9,2978.166667
December,10,3128.166667
December,11,2789.166667
December,12,2496.333333
December,13,2766.666667
December,14,3013.833333
December,15,2906.833333
December,16,3066.666667
December,17,3217.166667
December,18,2839.5
December,19,2401.5
December,20,2608.666667
December,21,2701.5
December,22,3021.333333
December,23,3849.833333
December,24,2491.833333
December,25,1614.5
December,26,2279.333333
December,27,2513.166667
December,28,2728.5
December,29,2619.833333
December,30,3137.666667
December,31,2377
,,
